series_name,month,month_name,n_obs,asset_class,sub_class,geography,currency,series_type,avg_return,median_return,std_return,win_rate,best_return,worst_return,best_year,worst_year,t_stat,p_value
S&P 500,1,January,26,Equity,Developed Market Index,US,USD,price,0.001707,0.013861,0.041784,0.5385,0.078684,-0.085657,2019.0,2009.0,0.2083,0.8367
S&P 500,2,February,27,Equity,Developed Market Index,US,USD,price,-0.005105,-0.004128,0.042907,0.4815,0.054893,-0.109931,2015.0,2009.0,-0.6183,0.5418
S&P 500,3,March,27,Equity,Developed Market Index,US,USD,price,0.008318,0.00998,0.04785,0.5926,0.09672,-0.125119,2000.0,2020.0,0.9033,0.3747
S&P 500,4,April,27,Equity,Developed Market Index,US,USD,price,0.018285,0.012156,0.048678,0.7037,0.126844,-0.087957,2020.0,2022.0,1.9519,0.0618
S&P 500,5,May,26,Equity,Developed Market Index,US,USD,price,0.006621,0.011125,0.036431,0.7308,0.061524,-0.081976,2025.0,2010.0,0.9267,0.3629
S&P 500,6,June,26,Equity,Developed Market Index,US,USD,price,-0.000471,0.002862,0.040477,0.6154,0.06893,-0.085962,2019.0,2008.0,-0.0593,0.9532
S&P 500,7,July,26,Equity,Developed Market Index,US,USD,price,0.015401,0.017786,0.0373,0.6923,0.091116,-0.079004,2022.0,2002.0,2.1054,0.0455
S&P 500,8,August,26,Equity,Developed Market Index,US,USD,price,0.001611,0.008536,0.035928,0.6154,0.070065,-0.064108,2020.0,2001.0,0.2287,0.821
S&P 500,9,September,26,Equity,Developed Market Index,US,USD,price,-0.013138,0.00153,0.049521,0.5,0.087551,-0.110024,2010.0,2002.0,-1.3528,0.1882
S&P 500,10,October,26,Equity,Developed Market Index,US,USD,price,0.013442,0.019265,0.056164,0.6154,0.107723,-0.169425,2011.0,2008.0,1.2204,0.2337
S&P 500,11,November,26,Equity,Developed Market Index,US,USD,price,0.021212,0.026292,0.043876,0.7692,0.107546,-0.080069,2020.0,2000.0,2.4652,0.0209
S&P 500,12,December,26,Equity,Developed Market Index,US,USD,price,0.005816,0.008177,0.035412,0.6538,0.0653,-0.091777,2010.0,2018.0,0.8374,0.4103
Nasdaq Composite,1,January,26,Equity,Developed Market Index,US,USD,price,0.009771,0.015275,0.059392,0.6154,0.122326,-0.098941,2001.0,2008.0,0.8389,0.4095
Nasdaq Composite,2,February,27,Equity,Developed Market Index,US,USD,price,-0.004105,-0.010595,0.071686,0.4444,0.191947,-0.223931,2000.0,2001.0,-0.2975,0.7684
Nasdaq Composite,3,March,27,Equity,Developed Market Index,US,USD,price,0.002832,0.003355,0.055413,0.5926,0.10941,-0.144793,2009.0,2001.0,0.2655,0.7927
Nasdaq Composite,4,April,27,Equity,Developed Market Index,US,USD,price,0.015434,0.0085,0.075649,0.6296,0.154472,-0.155739,2020.0,2000.0,1.0601,0.2988
Nasdaq Composite,5,May,26,Equity,Developed Market Index,US,USD,price,0.011561,0.03129,0.05813,0.6154,0.095575,-0.119086,2025.0,2000.0,1.0141,0.3203
Nasdaq Composite,6,June,26,Equity,Developed Market Index,US,USD,price,0.011811,0.013005,0.058304,0.5385,0.166191,-0.094397,2000.0,2002.0,1.033,0.3115
Nasdaq Composite,7,July,26,Equity,Developed Market Index,US,USD,price,0.017208,0.021317,0.052755,0.6538,0.123491,-0.092229,2022.0,2002.0,1.6632,0.1088
Nasdaq Composite,8,August,26,Equity,Developed Market Index,US,USD,price,0.004879,0.011292,0.051245,0.5769,0.116634,-0.109366,2000.0,2001.0,0.4855,0.6316
Nasdaq Composite,9,September,26,Equity,Developed Market Index,US,USD,price,-0.017642,-0.003989,0.068258,0.4615,0.120429,-0.169838,2010.0,2001.0,-1.3179,0.1995
Nasdaq Composite,10,October,26,Equity,Developed Market Index,US,USD,price,0.02035,0.037819,0.071698,0.6154,0.134541,-0.177319,2002.0,2008.0,1.4473,0.1602
Nasdaq Composite,11,November,26,Equity,Developed Market Index,US,USD,price,0.020489,0.026708,0.074439,0.7692,0.14222,-0.229016,2001.0,2000.0,1.4035,0.1728
Nasdaq Composite,12,December,26,Equity,Developed Market Index,US,USD,price,0.001151,0.00455,0.043659,0.5769,0.0619,-0.096884,2010.0,2002.0,0.1344,0.8942
Dow Jones,1,January,26,Equity,Developed Market Index,US,USD,price,-0.002006,0.004201,0.039766,0.5385,0.071684,-0.088365,2019.0,2009.0,-0.2572,0.7991
Dow Jones,2,February,27,Equity,Developed Market Index,US,USD,price,-0.00535,0.009139,0.044098,0.5926,0.056379,-0.117229,2015.0,2009.0,-0.6304,0.534
Dow Jones,3,March,27,Equity,Developed Market Index,US,USD,price,0.005141,0.008329,0.047125,0.6296,0.078356,-0.137438,2000.0,2020.0,0.5669,0.5757
Dow Jones,4,April,27,Equity,Developed Market Index,US,USD,price,0.017478,0.013999,0.041425,0.7407,0.110806,-0.050027,2020.0,2024.0,2.1924,0.0375
Dow Jones,5,May,26,Equity,Developed Market Index,US,USD,price,0.001061,0.005738,0.033688,0.6154,0.043652,-0.079209,2003.0,2010.0,0.1606,0.8737
Dow Jones,6,June,26,Equity,Developed Market Index,US,USD,price,-0.004483,-0.003768,0.037724,0.4231,0.071929,-0.101937,2019.0,2008.0,-0.606,0.55
Dow Jones,7,July,26,Equity,Developed Market Index,US,USD,price,0.017123,0.011266,0.031834,0.8077,0.085783,-0.054815,2009.0,2002.0,2.7426,0.0111
Dow Jones,8,August,26,Equity,Developed Market Index,US,USD,price,0.000391,0.004845,0.035341,0.5769,0.075742,-0.065678,2020.0,2015.0,0.0564,0.9555
Dow Jones,9,September,26,Equity,Developed Market Index,US,USD,price,-0.01239,-0.004144,0.047829,0.4615,0.077219,-0.123688,2010.0,2002.0,-1.3209,0.1985
Dow Jones,10,October,26,Equity,Developed Market Index,US,USD,price,0.018042,0.022753,0.055957,0.6538,0.139508,-0.140604,2022.0,2008.0,1.6441,0.1127
Dow Jones,11,November,26,Equity,Developed Market Index,US,USD,price,0.025249,0.029974,0.044082,0.7308,0.118372,-0.053187,2020.0,2008.0,2.9205,0.0073
Dow Jones,12,December,26,Equity,Developed Market Index,US,USD,price,0.008276,0.015763,0.037115,0.6538,0.068639,-0.086575,2003.0,2018.0,1.137,0.2663
MSCI World ETF,1,January,14,Equity,Developed Market Index,Global,USD,price,0.010004,0.014825,0.044544,0.5714,0.077216,-0.061063,2019.0,2016.0,0.8404,0.4159
MSCI World ETF,2,February,15,Equity,Developed Market Index,Global,USD,price,0.008829,0.006381,0.042172,0.6,0.066839,-0.082472,2015.0,2020.0,0.8108,0.431
MSCI World ETF,3,March,15,Equity,Developed Market Index,Global,USD,price,-0.000897,0.010248,0.048074,0.6,0.067723,-0.130924,2016.0,2020.0,-0.0723,0.9434
MSCI World ETF,4,April,15,Equity,Developed Market Index,Global,USD,price,0.016933,0.016823,0.045178,0.8,0.108173,-0.083801,2020.0,2022.0,1.4516,0.1687
MSCI World ETF,5,May,14,Equity,Developed Market Index,Global,USD,price,0.008628,0.012114,0.039588,0.7857,0.05853,-0.085327,2025.0,2012.0,0.8155,0.4295
MSCI World ETF,6,June,14,Equity,Developed Market Index,Global,USD,price,0.00768,0.014345,0.040116,0.7143,0.063404,-0.085939,2019.0,2022.0,0.7163,0.4865
MSCI World ETF,7,July,14,Equity,Developed Market Index,Global,USD,price,0.029553,0.028193,0.023666,0.9286,0.081306,-0.016447,2022.0,2014.0,4.6723,0.0004
MSCI World ETF,8,August,14,Equity,Developed Market Index,Global,USD,price,0.002705,0.007379,0.034376,0.6429,0.065288,-0.065723,2020.0,2015.0,0.2945,0.773
MSCI World ETF,9,September,14,Equity,Developed Market Index,Global,USD,price,-0.005486,0.005181,0.042035,0.5714,0.056236,-0.093671,2013.0,2022.0,-0.4884,0.6334
