Date,AUD/INR,AUD/USD,USD/BRL,USD/CAD,USD/CHF,CHF/INR,USD/CNY,DXY Dollar Index,EUR/INR,EUR/USD,GBP/INR,GBP/USD,USD/IDR,USD/INR,USD/JPY,JPY/INR,USD/KRW,USD/MXN,NZD/USD,USD/SGD,USD/THB,USD/TRY,USD/ZAR
2000-01-03,,,,,,,,100.220001,,,,,,,101.690002,,,,,,,,
2000-01-04,,,,,,,,100.410004,,,,,,,103.139999,,,,,,,,
2000-01-05,,,,,,,,100.379997,,,,,,,104.089996,,,,,,,,
2000-01-06,,,,,,,,100.650002,,,,,,,105.230003,,,,,,,,
2000-01-07,,,,,,,,100.800003,,,,,,,105.330002,,,,,,,,
2000-01-10,,,,,,,,100.989998,,,,,,,105.160004,,,,,,,,
2000-01-11,,,,,,,,100.559998,,,,,,,106.019997,,,,,,,,
2000-01-12,,,,,,,,100.620003,,,,,,,105.709999,,,,,,,,
2000-01-13,,,,,,,,101.0,,,,,,,106.019997,,,,,,,,
2000-01-14,,,,,,,,101.720001,,,,,,,105.879997,,,,,,,,
2000-01-17,,,,,,,,102.050003,,,,,,,104.889999,,,,,,,,
2000-01-18,,,,,,,,101.860001,,,,,,,105.660004,,,,,,,,
2000-01-19,,,,,,,,101.760002,,,,,,,105.260002,,,,,,,,
2000-01-20,,,,,,,,101.360001,,,,,,,105.309998,,,,,,,,
2000-01-21,,,,,,,,101.760002,,,,,,,104.720001,,,,,,,,
2000-01-24,,,,,,,,102.199997,,,,,,,105.650002,,,,,,,,
2000-01-25,,,,,,,,102.410004,,,,,,,105.870003,,,,,,,,
2000-01-26,,,,,,,,102.440002,,,,,,,105.580002,,,,,,,,
2000-01-27,,,,,,,,103.169998,,,,,,,104.989998,,,,,,,,
2000-01-28,,,,,,,,104.480003,,,,,,,107.059998,,,,,,,,
2000-01-31,,,,,,,,105.129997,,,,,,,107.199997,,,,,,,,
2000-02-01,,,,,,,,104.919998,,,,,,,107.739998,,,,,,,,
2000-02-02,,,,,,,,104.790001,,,,,,,108.099998,,,,,,,,
2000-02-03,,,,,,,,103.800003,,,,,,,107.449997,,,,,,,,
2000-02-04,,,,,,,,104.290001,,,,,,,107.18,,,,,,,,
2000-02-07,,,,,,,,104.639999,,,,,,,108.910004,,,,,,,,
2000-02-08,,,,,,,,104.220001,,,,,,,109.400002,,,,,,,,
2000-02-09,,,,,,,,103.68,,,,,,,108.760002,,,,,,,,
2000-02-10,,,,,,,,104.129997,,,,,,,109.110001,,,,,,,,
2000-02-11,,,,,,,,104.190002,,,,,,,108.800003,,,,,,,,
2000-02-14,,,,,,,,104.720001,,,,,,,108.830002,,,,,,,,
2000-02-15,,,,,,,,104.690002,,,,,,,109.07,,,,,,,,
2000-02-16,,,,,,,,104.279999,,,,,,,109.349998,,,,,,,,
2000-02-17,,,,,,,,104.269997,,,,,,,110.410004,,,,,,,,
2000-02-18,,,,,,,,104.629997,,,,,,,110.849998,,,,,,,,
2000-02-21,,,,,,,,104.580002,,,,,,,111.25,,,,,,,,
2000-02-22,,,,,,,,103.279999,,,,,,,110.68,,,,,,,,
2000-02-23,,,,,,,,103.529999,,,,,,,111.25,,,,,,,,
2000-02-24,,,,,,,,104.010002,,,,,,,111.300003,,,,,,,,
2000-02-25,,,,,,,,105.260002,,,,,,,110.150002,,,,,,,,
2000-02-28,,,,,,,,105.269997,,,,,,,109.699997,,,,,,,,
2000-02-29,,,,,,,,105.919998,,,,,,,110.190002,,,,,,,,
2000-03-01,,,,,,,,104.889999,,,,,,,106.940002,,,,,,,,
2000-03-02,,,,,,,,105.650002,,,,,,,107.800003,,,,,,,,
2000-03-03,,,,,,,,106.0,,,,,,,107.68,,,,,,,,
2000-03-06,,,,,,,,106.160004,,,,,,,107.419998,,,,,,,,
2000-03-07,,,,,,,,106.089996,,,,,,,106.18,,,,,,,,
2000-03-08,,,,,,,,105.93,,,,,,,107.169998,,,,,,,,
2000-03-09,,,,,,,,105.370003,,,,,,,106.510002,,,,,,,,
2000-03-10,,,,,,,,105.709999,,,,,,,106.220001,,,,,,,,
2000-03-13,,,,,,,,105.5,,,,,,,105.690002,,,,,,,,
2000-03-14,,,,,,,,105.300003,,,,,,,105.110001,,,,,,,,
2000-03-15,,,,,,,,105.379997,,,,,,,105.620003,,,,,,,,
2000-03-16,,,,,,,,105.18,,,,,,,105.639999,,,,,,,,
2000-03-17,,,,,,,,105.199997,,,,,,,106.660004,,,,,,,,
2000-03-20,,,,,,,,105.150002,,,,,,,106.360001,,,,,,,,
2000-03-21,,,,,,,,105.809998,,,,,,,106.699997,,,,,,,,
2000-03-22,,,,,,,,106.040001,,,,,,,107.07,,,,,,,,
2000-03-23,,,,,,,,105.230003,,,,,,,107.279999,,,,,,,,
2000-03-24,,,,,,,,104.769997,,,,,,,106.989998,,,,,,,,
2000-03-27,,,,,,,,105.449997,,,,,,,106.699997,,,,,,,,
2000-03-28,,,,,,,,105.529999,,,,,,,105.82,,,,,,,,
2000-03-29,,,,,,,,106.25,,,,,,,105.709999,,,,,,,,
2000-03-30,,,,,,,,105.470001,,,,,,,105.639999,,,,,,,,
2000-03-31,,,,,,,,105.440002,,,,,,,102.959999,,,,,,,,
2000-04-03,,,,,,,,105.540001,,,,,,,104.989998,,,,,,,,
2000-04-04,,,,,,,,105.169998,,,,,,,105.209999,,,,,,,,
2000-04-05,,,,,,,,105.290001,,,,,,,104.82,,,,,,,,
2000-04-06,,,,,,,,105.519997,,,,,,,104.690002,,,,,,,,
2000-04-07,,,,,,,,105.970001,,,,,,,105.449997,,,,,,,,
2000-04-10,,,,,,,,105.68,,,,,,,106.459999,,,,,,,,
2000-04-11,,,,,,,,105.940002,,,,,,,106.800003,,,,,,,,
2000-04-12,,,,,,,,105.959999,,,,,,,105.75,,,,,,,,
2000-04-13,,,,,,,,106.139999,,,,,,,105.790001,,,,,,,,
2000-04-14,,,,,,,,105.75,,,,,,,104.760002,,,,,,,,
2000-04-17,,,,,,,,106.129997,,,,,,,104.589996,,,,,,,,
2000-04-18,,,,,,,,106.629997,,,,,,,104.660004,,,,,,,,
2000-04-19,,,,,,,,107.129997,,,,,,,104.849998,,,,,,,,
2000-04-20,,,,,,,,107.449997,,,,,,,105.709999,,,,,,,,
2000-04-21,,,,,,,,,,,,,,,105.800003,,,,,,,,
2000-04-24,,,,,,,,107.279999,,,,,,,105.690002,,,,,,,,
2000-04-25,,,,,,,,108.690002,,,,,,,106.129997,,,,,,,,
2000-04-26,,,,,,,,108.550003,,,,,,,106.139999,,,,,,,,
2000-04-27,,,,,,,,109.57,,,,,,,106.379997,,,,,,,,
2000-04-28,,,,,,,,110.139999,,,,,,,108.150002,,,,,,,,
2000-05-01,,,,,,,,109.629997,,,,,,,108.629997,,,,,,,,
2000-05-02,,,,,,,,110.260002,,,,,,,108.449997,,,,,,,,
2000-05-03,,,,,,,,111.260002,,,,,,,108.970001,,,,,,,,
2000-05-04,,,,,,,,111.800003,,,,,,,108.0,,,,,,,,
2000-05-05,,,,,,,,111.309998,,,,,,,108.580002,,,,,,,,
2000-05-08,,,,,,,,111.449997,,,,,,,109.150002,,,,,,,,
2000-05-09,,,,,,,,110.75,,,,,,,109.110001,,,,,,,,
2000-05-10,,,,,,,,110.800003,,,,,,,109.349998,,,,,,,,
2000-05-11,,,,,,,,111.519997,,,,,,,108.379997,,,,,,,,
