Date,Shanghai Composite,MSCI EM ETF,S&P 500 Value,S&P 500 Growth,Small Cap Russell 2000,Momentum,Quality,MSCI World ETF,Low Volatility,Materials,Communication Services,Energy,Financials,Industrials,Technology,Consumer Staples,Real Estate,Utilities,Healthcare,Consumer Discretionary,ASX 200,Bovespa Brazil,Dow Jones,CAC 40,FTSE 100,DAX,S&P 500,Hang Seng,Nasdaq Composite,IDX Composite,KLCI Malaysia,KOSPI South Korea,Nikkei 225,SET Thailand,SMI Switzerland,Euro Stoxx 50,Taiwan Weighted
2000-01-03,,,,,,,,,,7.2283,,6.6559,11.0909,18.0749,20.6264,12.1388,,5.5131,20.4407,11.151,,16930.0,11357.5098,5917.3701,,6750.7598,1455.22,17369.6309,4131.1499,,833.89,,,,,,
2000-01-04,1406.371,,,,,,,,,7.1587,,6.5306,10.6061,17.5755,19.5799,11.797,,5.3468,19.9769,10.8156,3093.7,15851.0,10997.9297,5672.02,6665.8999,6586.9502,1399.42,17072.8203,3901.6899,700.1908,832.8,1059.04,19002.8594,498.46,7268.1001,,8756.5098
2000-01-05,1409.682,,,,,,,,,7.4544,,6.7029,10.5227,17.4972,19.2893,12.0054,,5.4817,19.7977,10.6826,3018.7,16245.0,11122.6504,5479.7002,6535.8999,6502.0698,1402.11,15846.7197,3877.54,678.0606,815.8,986.31,18542.5508,465.85,7181.2998,,8849.8301
2000-01-06,1463.942,,,,,,,,,7.6458,,6.9613,10.9848,17.7322,18.6498,12.2305,,5.4723,19.8609,10.804,2999.3,16107.0,11253.2598,5450.1099,6447.2002,6474.9199,1403.45,15153.2305,3727.1299,688.4942,818.43,960.79,18168.2695,443.46,7280.6001,,8921.9893
2000-01-07,1516.604,,,,,,,,,7.6414,,7.0357,11.1667,18.4078,18.9754,13.0059,,5.5193,20.1034,11.313,3023.3999,16309.0,11522.5596,5539.6099,6504.7998,6780.96,1441.47,15405.6299,3882.6201,,,948.65,18193.4102,453.31,7448.0,,8849.8301
2000-01-10,1545.1121,,,,,,,,,7.6153,,6.977,10.9697,18.4078,19.6962,12.7141,,5.5382,22.1591,11.2551,3084.0,17022.0,11572.2002,5646.1201,6607.7002,6925.52,1457.6,15848.1504,4049.6699,,,987.24,,459.47,7452.7998,,9102.5576
2000-01-11,1479.781,,,,,,,,,7.524,,6.9848,10.7879,18.1728,19.1381,12.7141,,5.4785,21.5687,11.1915,3160.8,16573.0,11511.0801,5613.8999,6518.8999,6891.25,1438.5601,15862.0996,3921.1899,695.976,846.74,981.33,18850.9199,452.48,7420.1001,,8926.9893
2000-01-12,1438.02,,,,,,,,,7.4153,,6.9535,11.0,17.9574,19.0567,12.7808,,5.4221,21.2103,11.1279,3088.3999,16617.0,11551.0996,5582.5,6532.7998,6912.8101,1432.25,15714.2002,3850.02,690.1371,869.62,955.01,18677.4199,459.62,7440.2002,,9144.6084
2000-01-13,1424.442,,,,,,,,,7.4457,,7.0748,11.3333,18.3001,19.2311,12.8475,,5.3719,21.8428,11.1857,3078.8999,17298.0,11582.4297,5633.2402,6531.5,6955.98,1449.6801,15633.96,3957.21,691.5831,890.6,951.05,18833.2891,458.4,7436.8999,,9107.1484
2000-01-14,1408.848,,,,,,,,,7.3935,,7.0318,11.5985,18.1728,19.673,12.8892,,5.4158,21.6531,11.1568,3115.3999,17658.0,11722.9805,5787.4399,6658.2002,7173.2202,1465.15,15542.2305,4064.27,690.8651,928.24,948.03,18956.5508,474.37,7513.8999,,9023.1992
2000-01-17,1433.33,,,,,,,,,,,,,,,,,,,,3121.5,18053.0,,5842.7798,6669.5,7258.8999,,15574.5596,,703.4556,953.42,983.27,19437.2305,477.09,7507.0,,9315.3877
2000-01-18,1426.623,,,,,,,,,7.2152,,7.1179,11.2121,18.1532,19.7776,12.6724,,5.3938,21.2525,11.0932,3128.0,17903.0,11560.7197,5672.9502,6504.6001,7072.1201,1455.14,15789.2002,4130.8101,685.6893,949.62,981.53,19196.5703,484.16,7404.7998,,9250.1484
2000-01-19,1440.724,,,,,,,,,7.076,,7.0944,11.1742,18.0945,19.8125,12.7641,,5.397,21.7585,11.0701,3080.5,17470.0,11489.3604,5649.46,6445.5,7091.04,1455.9,15275.3398,4151.29,655.9695,933.38,938.78,18897.75,486.33,7336.7998,,9151.3984
2000-01-20,1466.863,,,,,,,,,6.889,,7.0944,10.9697,17.977,19.9288,12.589,,5.4221,21.5898,10.9197,3112.5,17177.0,11351.2998,5709.7402,6348.7002,7112.6602,1445.5699,15215.3096,4189.5098,670.127,950.86,945.9,19008.0098,486.64,7251.2002,,9136.9082
2000-01-21,1465.085,,,,,,,,,6.9195,,7.2902,10.8333,17.7518,19.952,12.4473,,5.5978,21.5476,10.6941,3073.3999,17034.0,11251.71,5681.3198,6346.2998,6992.75,1441.36,15108.4102,4235.3999,664.668,953.96,925.16,18878.0898,478.92,7236.0,,9255.8984
