Date,Sensex,Nifty 100,Nifty Auto,Nifty Energy,Nifty FMCG,Nifty Infrastructure,Nifty IT,Nifty Metal,Nifty Pharma,Nifty PSU Bank,Nifty Realty,Nifty 500,Nifty Bank,Nifty 50,Nifty Midcap 150,Nifty Next 50
2000-01-03,5375.1099,,,,,,,,,,,,,,,
2000-01-04,5491.0098,,,,,,,,,,,,,,,
2000-01-05,5357.0,,,,,,,,,,,,,,,
2000-01-06,5421.5298,,,,,,,,,,,,,,,
2000-01-07,5414.48,,,,,,,,,,,,,,,
2000-01-10,5518.3901,,,,,,,,,,,,,,,
2000-01-11,5296.2998,,,,,,,,,,,,,,,
2000-01-12,5491.2002,,,,,,,,,,,,,,,
2000-01-13,5444.8198,,,,,,,,,,,,,,,
2000-01-14,5471.27,,,,,,,,,,,,,,,
2000-01-17,5404.0698,,,,,,,,,,,,,,,
2000-01-18,5464.5098,,,,,,,,,,,,,,,
2000-01-19,5478.2402,,,,,,,,,,,,,,,
2000-01-20,5355.7998,,,,,,,,,,,,,,,
2000-01-21,5423.0498,,,,,,,,,,,,,,,
2000-01-24,5458.0601,,,,,,,,,,,,,,,
2000-01-25,5367.79,,,,,,,,,,,,,,,
2000-01-26,5367.79,,,,,,,,,,,,,,,
2000-01-27,5369.1001,,,,,,,,,,,,,,,
2000-01-28,5335.7998,,,,,,,,,,,,,,,
2000-01-31,5205.29,,,,,,,,,,,,,,,
2000-02-01,5215.54,,,,,,,,,,,,,,,
2000-02-02,5304.9199,,,,,,,,,,,,,,,
2000-02-03,5340.1899,,,,,,,,,,,,,,,
2000-02-04,5313.5898,,,,,,,,,,,,,,,
2000-02-07,5474.0,,,,,,,,,,,,,,,
2000-02-08,5610.5601,,,,,,,,,,,,,,,
2000-02-09,5649.1001,,,,,,,,,,,,,,,
2000-02-10,5789.04,,,,,,,,,,,,,,,
2000-02-11,5933.5601,,,,,,,,,,,,,,,
2000-02-14,5924.3101,,,,,,,,,,,,,,,
2000-02-15,5803.1899,,,,,,,,,,,,,,,
2000-02-16,5725.5,,,,,,,,,,,,,,,
2000-02-17,5835.1499,,,,,,,,,,,,,,,
2000-02-18,5721.6499,,,,,,,,,,,,,,,
2000-02-21,5874.8901,,,,,,,,,,,,,,,
2000-02-22,5883.3301,,,,,,,,,,,,,,,
2000-02-23,5642.46,,,,,,,,,,,,,,,
2000-02-24,5810.1699,,,,,,,,,,,,,,,
2000-02-25,5623.0801,,,,,,,,,,,,,,,
2000-02-28,5740.6899,,,,,,,,,,,,,,,
