Date,Balanced Advantage Category,Corporate Bond Category,Liquid Category,US Equity FOF Category,Large Cap Category,Small Cap Category,Mid Cap Category,Flexi Cap Category,Aggressive Hybrid Category
2009-01-02,,,589.7955,,30.556,,1391.4269,,
2009-01-05,,,589.8074,,31.175,,1414.3257,,
2009-01-06,,,589.8074,,31.124,,1408.3759,,
2009-01-07,,,589.8074,,29.265,,1294.7819,,
2009-01-09,,,589.8074,,28.855,,1245.3346,,
2009-01-12,,,589.7955,,27.726,,1224.1356,,
2009-01-13,,,589.7955,,27.637,,1191.0374,,
2009-01-14,,,589.7955,,28.492,,1230.4854,,
2009-01-15,,,589.8074,,27.65,,1206.9365,,
2009-01-16,,,589.7955,,28.511,,1219.3859,,
2009-01-19,,,589.8074,,28.446,,1223.4357,,
2009-01-20,,,589.8017,,28.314,,1208.6364,,
2009-01-21,,,589.8074,,27.536,,1170.1384,,
2009-01-22,,,589.7955,,27.35,,1155.0894,,
2009-01-23,,,589.7955,,27.211,,1133.6904,,
2009-01-27,,,589.8074,,27.721,,1136.7902,,
2009-01-28,,,589.7955,,28.496,,1160.1389,,
2009-01-29,,,589.7955,,28.257,,1156.7892,,
2009-01-30,,,589.8074,,28.969,,1172.0383,,
2009-02-02,,,589.8074,,28.17,,1148.8396,,
2009-02-03,,,589.8074,,28.291,,1137.7902,,
2009-02-04,,,589.7955,,28.103,,1128.8407,,
2009-02-05,,,589.8074,,28.02,,1119.6912,,
2009-02-06,,,589.7955,,28.619,,1138.2402,,
2009-02-09,,,589.8074,,29.328,,1170.0385,,
2009-02-10,,,589.7955,,29.556,,1186.0376,,
2009-02-11,,,589.7955,,29.45,,1190.8374,,
2009-02-12,,,589.8074,,29.142,,1187.0376,,
2009-02-13,,,589.8074,,29.815,,1195.2871,,
2009-02-16,,,589.8074,,28.542,,1166.2887,,
2009-02-17,,,589.7955,,27.908,,1127.5907,,
2009-02-18,,,589.8074,,28.149,,1119.8412,,
2009-02-19,,,589.7955,,28.299,,1116.2913,,
2009-02-20,,,589.8074,,27.488,,1104.6919,,
2009-02-24,,,589.7955,,27.523,,1085.343,,
2009-02-25,,,589.7955,,27.948,,1089.8428,,
2009-02-26,,,589.8074,,28.019,,1089.6927,,
2009-02-27,,,589.8017,,28.016,,1088.7927,,
2009-03-02,,,589.7955,,27.046,,1062.3441,,
2009-03-03,,,589.7955,,26.756,,1042.2952,,
2009-03-04,,,589.7955,,26.936,,1038.7954,,
